,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
0,AMD Ryzen™ 9 5950X,105.0,,
1,AMD Ryzen™ 7 5800X3D,105.0,,
2,AMD Ryzen™ 9 5900X,105.0,,
3,AMD Ryzen™ 9 5900 (OEM Only),65.0,,
4,AMD Ryzen™ 7 5800X,105.0,,
5,AMD Ryzen™ 7 5800 (OEM Only),65.0,,
6,AMD Ryzen™ 5 5600X,65.0,,
7,AMD Ryzen™ 9 6980HX,45.0,,
8,AMD Ryzen™ 9 3900XT,105.0,,
9,AMD Ryzen™ 9 6980HS,35.0,,
10,AMD Ryzen™ 9 6900HX,45.0,,
11,AMD Ryzen™ 7 3800XT,105.0,,
12,AMD Ryzen™ 9 6900HS​,35.0,,
13,AMD Ryzen™ 7 6800H,45.0,,
14,AMD Ryzen™ 7 6800HS,35.0,,
15,AMD Ryzen™ 5 3600XT,95.0,,
16,AMD Ryzen™ Threadripper™ PRO 3995WX,280.0,,
17,AMD Ryzen™ 7 6800U​,,15-28W,
18,AMD Ryzen™ Threadripper™ PRO 3975WX,280.0,,
19,AMD Ryzen™ Threadripper™ PRO 3955WX,280.0,,
20,AMD Ryzen™ 5 6600H,45.0,,
21,AMD Ryzen™ Threadripper™ PRO 3945WX,280.0,,
22,AMD Ryzen™ 9 5980HX,45.0,35-54W,
23,AMD Ryzen™ 5 6600HS​,35.0,,
24,AMD Ryzen™ Threadripper™ 3990X,280.0,,
25,AMD Ryzen™ 9 5980HS,35.0,,
26,AMD Ryzen™ 5 6600U,,15-28W,
27,AMD Ryzen™ 7 5825U,15.0,,
28,AMD Ryzen™ Threadripper™ 3970X,280.0,,
29,AMD Ryzen™ 9 5900HX,45.0,35-54W,
30,AMD Ryzen™ 9 5900HS,35.0,,
31,AMD Ryzen™ Threadripper™ 3960X,280.0,,
32,AMD Ryzen™ 7 5800H,45.0,35-54W,
33,AMD Ryzen™ 5 5625U,15.0,,
34,AMD Ryzen™ 7 5800HS,35.0,,
35,AMD Ryzen™ 9 3950X,105.0,,
36,AMD Ryzen™ 5 5600H,45.0,35-54W,
37,AMD Ryzen™ 5 5600HS,35.0,,
38,AMD Ryzen™ 7 5800U,15.0,10-25W,
39,AMD Ryzen™ 9 3900X,105.0,,
40,AMD Ryzen™ 7 5700U,15.0,10-25W,
41,AMD Ryzen™ 9 3900 Processor (OEM Only),65.0,,
42,AMD Ryzen™ 5 5600U,15.0,10-25W,
43,AMD Ryzen™ 3 5425U,15.0,,
44,AMD Ryzen™ 5 5500U,15.0,10-25W,
45,AMD Ryzen™ 7 3800X,105.0,,
46,AMD Ryzen™ 3 5400U,15.0,10-25W,
47,AMD Ryzen™ 3 5300U,15.0,10-25W,
48,AMD Ryzen™ 7 3700X,65.0,,
49,AMD Ryzen™ 7 5700G,65.0,45-65W,
50,AMD Ryzen™ 7 5700GE,35.0,,
51,AMD Ryzen™ 5 5600G,65.0,45-65W,
52,AMD Ryzen™ 5 3600X,95.0,,
53,AMD Ryzen™ 5 5600GE,35.0,,
54,AMD Ryzen™ 5 3600,65.0,,
55,AMD Ryzen™ 3 5300G (OEM Only),65.0,45-65W,
56,AMD Ryzen™ 3 5300GE (OEM Only),35.0,,
57,AMD Ryzen™ 3 3300X,65.0,,
58,AMD Ryzen™ 7 4700G (OEM Only),65.0,45-65W,
59,AMD Ryzen™ 3 3100,65.0,,
60,AMD Ryzen™ 5 4600G (OEM Only),65.0,45-65W,
61,AMD Ryzen™ 3 4300G (OEM Only),65.0,45-65W,
62,AMD Ryzen™ 5 3500 Processor (OEM Only),65.0,,
63,AMD Ryzen™ 7 4700GE (OEM Only),35.0,,
64,AMD Ryzen™ 5 4600GE (OEM Only),35.0,,
65,AMD Ryzen™ 3 4300GE (OEM Only),35.0,,
66,AMD Ryzen™ 9 4900H,35.0,,
67,AMD Ryzen™ 9 4900HS,35.0,,
68,AMD Ryzen™ 7 4800HS,45.0,35-54W,
69,AMD Ryzen™ 7 4800H,45.0,35-54W,
70,AMD Ryzen™ 5 4600H,45.0,35-54W,
71,AMD Ryzen™ 7 4800U,15.0,10-25W,
72,AMD Ryzen™ 7 4700U,15.0,10-25W,
73,AMD Ryzen™ 5 4600U,15.0,10-25W,
74,AMD Ryzen™ 5 4500U,15.0,10-25W,
75,AMD Ryzen™ 3 4300U,15.0,10-25W,
76,AMD Ryzen™ 3 3250U,15.0,12-25W,
77,AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,65.0,45-65W,
78,AMD Ryzen™ 7 4980U Microsoft Surface® Edition,15.0,10-25W,
79,AMD Ryzen™ 5 3400GE (OEM Only),35.0,,
80,AMD Ryzen™ 5 4680U Microsoft Surface® Edition,15.0,10-25W,
81,AMD Ryzen™ 7 3780U Microsoft Surface® Edition,15.0,12-35W,
82,AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,65.0,45-65W,
83,AMD Ryzen™ 3 3200GE (OEM Only),35.0,,
84,AMD Athlon™ 320GE,35.0,,
85,AMD Athlon™ 300GE,35.0,,
86,AMD Ryzen™ 7 3750H,35.0,12-35W,
87,AMD Ryzen™ 5 3550H,35.0,12-35W,
88,AMD Ryzen™ 7 3700U,15.0,12-35W,
89,AMD Ryzen™ 5 3500U,15.0,12-35W,
90,AMD Ryzen™ 3 3350U,15.0,12-35W,
91,AMD Ryzen™ 7 3700C,15.0,12-25W,
92,AMD Ryzen™ 5 3450U,15.0,12-35W,
93,AMD Ryzen™ 3 3300U,15.0,12-35W,
94,AMD Ryzen™ 5 3580U Microsoft Surface® Edition,15.0,12-35W,
95,AMD Ryzen™ 3 3200U,15.0,12-25W,
96,AMD Ryzen™ 5 3500C,15.0,12-25W,
97,AMD Athlon™ 300U,15.0,,
98,AMD Athlon™ Gold 3150U,15.0,12-25W,
99,AMD Ryzen™ 3 3250C,15.0,12-25W,
100,AMD Athlon™ Silver 3050U,15.0,12-25W,
101,AMD Athlon™ Silver 3050e,6.0,N/AW,
102,AMD Athlon™ Gold 3150C,15.0,12-25W,
103,AMD Athlon™ Gold 3150GE (OEM Only),35.0,,
104,AMD Athlon™  Silver 3050C,15.0,12-25W,
105,AMD 3020e,6.0,N/AW,
