,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"AMD Ryzen™ 9 5950X","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors","Boxed Processor",100-000000059,100-100000059WOF,,11/5/2020,16,32,,3.4GHz,"Up to 4.9GHz",,,8MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Not included",,105W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 7 5800X3D","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors",Desktop,,,,,8,16,,3.4GHz,"Up to 4.5GHz",,512KB,4MB,96MB,,"TSMC 7nm FinFET",AM4,1P,"PCIe 4.0","Not included",,105W,,90°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,,,"Discrete Graphics Card Required","AMD StoreMI Technology, AMD ""Zen 3"" Core Architecture, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 9 5900X","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors","Boxed Processor",100-000000061,100-100000061WOF,,11/5/2020,12,24,,3.7GHz,"Up to 4.8GHz",,,6MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Not included",,105W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 9 5900 (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors",Desktop,100-000000062,,,1/12/2021,12,24,,3.0GHz,"Up to 4.7GHz",,,6MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0",,,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 7 5800X","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",100-000000063,100-100000063WOF,,11/5/2020,8,16,,3.8GHz,"Up to 4.7GHz",,,4MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Not included",,105W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 7 5800 (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors",Desktop,100-000000456,,,1/12/2021,8,16,,3.4GHz,"Up to 4.6GHz",,,4MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0",,,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 5 5600X","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors","Boxed Processor",100-000000065,100-100000065BOX,100-100000065MPK,11/5/2020,6,12,,3.7GHz,"Up to 4.6GHz",,,3MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Wraith Stealth",,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 9 6980HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000750 FP7r2:	100-000000751",,,,8,16,12,3.3GHz,"Up to 5.0GHz",,512KB,4MB,16MB,Yes,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 9 3900XT","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors","Boxed Processor",,100-100000277WOF,,7/2020,12,24,,3.8GHz,"Up to 4.7GHz",,,6MB,64MB,Yes,"TSMC 7nm FinFET",,,"PCIe 4.0","Not included",,105W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD StoreMI Technology, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ 9 6980HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000750 FP7r2:100-000000751",,,,8,16,12,3.3GHz,"Up to 5.0GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
